# test name	needs (hard; test names or NONE)	after (ordering that keeps an assertion meaningful, or -)	replays (copies run first in this component, or -)	replay reason and what replaces it (or -)	evidence
replay_policy_catalog_postgres_v2::postgres_tests::catalog_admin_and_family_formation_are_atomic_and_fail_closed	NONE	-	-	-	ABLATE 2dd2b43e9
legacy_replay_table_is_preserved_while_current_custody_commits_and_reads_back	NONE	-	-	-	ABLATE 2dd2b43e9
origin_current_replay_table_renames_with_exact_v1_v2_read_continuity	NONE	-	-	-	ABLATE 2dd2b43e9
product_edge_postgres::tests::fresh_rd_owner_migrates_before_qualification_writer_validates	NONE	-	-	-	ABLATE 2dd2b43e9
durable_owner_is_atomic_restart_exact_and_fail_closed	NONE	-	-	-	ABLATE 2dd2b43e9
owner::replay_market_facts_v2::postgres_tests::postgres_replay_composition_owner_is_atomic_exact_and_observes_reader_market_transaction_overlap	NONE	-	-	-	ABLATE 2dd2b43e9
postgres_source_invocation_lifecycle_is_canonical_once_only_and_acl_sealed	NONE	-	-	-	ABLATE 2dd2b43e9
tests::same_identity_started_retry_returns_http_ok_with_exact_custody_once	NONE	-	-	-	ABLATE 2dd2b43e9
postgres::tests::genesis_admission_claim_cutover_and_revocation_are_canonical	NONE	-	-	-	ABLATE 2dd2b43e9
postgres::tests::expired_manifest_recovery_rejoins_across_owners_and_preserves_old_rows	NONE	-	-	-	ABLATE 2dd2b43e9
frozen_exploratory_replay_request_is_sealed_for_canonical_backtest_owner	NONE	-	-	-	ABLATE 2dd2b43e9
market_data_owner_sealed_request_port_is_exact_serializable_and_runtime_immutable	NONE	-	-	-	ABLATE 2dd2b43e9
replay_at_or_after_valid_through_writes_no_frozen_row_or_outbox	NONE	-	-	-	ABLATE 2dd2b43e9
postgres_readback_rejects_tampered_raw_payload	NONE	-	-	-	ABLATE 2dd2b43e9
tests::postgres_result_owner_is_atomic_restart_exact_and_rd_locked_read_only	NONE	-	-	-	ABLATE 2dd2b43e9
tests::exploratory_replay_result_http_readback_is_exact_locked_and_rd_read_only	tests::postgres_result_owner_is_atomic_restart_exact_and_rd_locked_read_only	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
tests::replay_result_dashboard_read_api_returns_exact_canonical_bytes	tests::postgres_result_owner_is_atomic_restart_exact_and_rd_locked_read_only	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
tests::postgres_result_rd_read_rejects_function_source_drift	tests::postgres_result_owner_is_atomic_restart_exact_and_rd_locked_read_only	-	-	-	PENDING fault injection: shard run on a fresh cluster
tests::postgres_result_rd_read_rejects_owner_api_routine_sibling	tests::postgres_result_rd_read_rejects_function_source_drift	-	-	-	PENDING fault injection: shard run on a fresh cluster
tests::postgres_result_rd_read_rejects_raw_table_acl_drift	tests::postgres_result_rd_read_rejects_owner_api_routine_sibling	-	-	-	PENDING fault injection: shard run on a fresh cluster
tests::postgres_result_rd_read_rejects_inherited_owner_membership	tests::postgres_result_rd_read_rejects_raw_table_acl_drift	-	-	-	PENDING fault injection: shard run on a fresh cluster
tests::postgres_result_rd_read_rejects_owner_attribute_drift	tests::postgres_result_rd_read_rejects_inherited_owner_membership	-	-	-	PENDING fault injection: shard run on a fresh cluster
tests::postgres_result_topology_fence_serializes_managed_acl_drift	tests::postgres_result_rd_read_rejects_owner_attribute_drift	-	-	-	PENDING fault injection: shard run on a fresh cluster
tests::postgres_result_mid_commit_failure_rolls_back_every_aggregate_row	NONE	-	-	-	ABLATE 2dd2b43e9
artifact_build_postgres::postgres_freshness_tests::specialized_artifact_admission_rechecks_locked_rd_view_at_final_cut	tests::same_identity_started_retry_returns_http_ok_with_exact_custody_once	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
artifact_build_postgres::postgres_freshness_tests::governance_artifact_membership_readback_is_restart_exact_and_fail_closed	tests::same_identity_started_retry_returns_http_ok_with_exact_custody_once	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
iteration_decision_postgres::postgres_acceptance_tests::successor_artifact_enters_exploratory_replay_with_exact_owner_custody	NONE	-	-	-	VERIFY 23b07d6e6 (template step 3): passes alone
tests::strategy_source_browser_acceptance_reads_canonical_terminal_owner_custody	frozen_exploratory_replay_request_is_sealed_for_canonical_backtest_owner	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
iteration_decision_postgres::postgres_acceptance_tests::repair_decision_action_and_market_data_request_commit_retry_resolve_and_rejection_are_atomic	NONE	-	-	-	VERIFY 23b07d6e6 (template step 3): passes alone
replay_execution_profile_binding_v1::tests::verified_owner_readback_mints_provenance_and_wrong_coordinates_fail	NONE	-	-	-	ABLATE 2dd2b43e9
postgres::tests::expired_manifest_recovery_sidecars_reject_unknown_constraints_without_catalog_mutation	NONE	-	-	-	ABLATE 2dd2b43e9
atomic_exact_replay_restart_tamper_and_acl_fail_closed	NONE	-	-	-	ABLATE 2dd2b43e9
program_host_bar_joined_cut_postgres_acceptance_tests::owner_postgres_v4_moves_through_program_host_and_real_backtest	NONE	-	-	-	ABLATE 2dd2b43e9
iteration_decision_postgres::postgres_acceptance_tests::iteration_analysis_postgres_acceptance_tests::analysis_request_completion_resolve_restart_and_tamper_are_atomic	NONE	-	-	-	VERIFY 23b07d6e6 (template step 3): passes alone
